N°,DELEGACION,MERCADO,NUM_OFIC,NUM_LOCALE,Coord_Y,Coord_X,DIRECCION,COLONIA,TIPO,SUPERF_M2,INAUGURACI,ANTIGÜEDA,VOCACIÓN,DETALLE,FORMA,NIVELES,TAMAÑO1,PROTEGIDO,COORGEOG_Y,COORGEOG_X
168,GUSTAVO A. MADERO,VILLA ZONA,34,938,2154371.39155,487906.37966,5 DE FEBRERO ENTRE MATAMOROS E ITURBIDE,GUSTAVO A. MADERO,TRADICIONAL,31866,1955,65,COMIDA PREPARADA Y OTROS,COMIDA Y ARTICULOS RELIGIOSOS,CUADRO,2,GRANDE,NO,-99.115241,19.4838639146
146,GUSTAVO A. MADERO,RAMON CORONA,45,458,2153623.82799,486935.01795,"CONSTANCIA  S/N, ENTRE RIO BLANCO Y NECAXA",INDUSTRIAL,TRADICIONAL,6599,1963,57,N/D,N/D,CUADRO,1,MEDIANO,SI,-99.1244919999,19.4771019147
123,GUSTAVO A. MADERO,CARRERA LARDIZABAL,50,131,2154221.98519,489536.04409,LUIS DE LA ROSA Y LEON GUZMAN,CONSTITUCION DE LA REPUBLICA,TRADICIONAL,1513,1964,56,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.0997109999,19.4825229147
147,GUSTAVO A. MADERO,RIO BLANCO,53,454,2151907.61456,488181.81282,"CONGRESO DE LA UNION, ENTRE ORIENTE 95 Y ORIENTE 91",MARTIRES DE RÍO BLANCO,TRADICIONAL,6252,1963,57,N/D,N/D,RECTANGULO,1,MEDIANO,NO,-99.1126009999,19.4615999148
129,GUSTAVO A. MADERO,ESTRELLA,54,124,2153461.19569,487843.32543,JOYAS ENTRE OPALO Y ESCUELA,ESTRELLA,TRADICIONAL,2074,1958,62,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.115836,19.4756379147
127,GUSTAVO A. MADERO,DIEZ DE MAYO,56,390,2151309.33965,489012.17905,"ORIENTE 87, NORTE 84 Y ORIENTE 89",NUEVA TENOCHTITLAN,TRADICIONAL,5477,1961,59,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.104686,19.4561979147
133,GUSTAVO A. MADERO,GERTRUDIS SANCHEZ,58,215,2152181.73485,489377.21826,"NORTE 82B ESQ. HENRY FORD, ENTRE NORTE 84 Y NORTE 82",GERTRUDIS SANCHEZ,TRADICIONAL,2773,0,2020,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.101213,19.4640839147
148,GUSTAVO A. MADERO,SALVADO DIAZ MIRON,62,150,2154813.18355,489579.2026,"NORTE 66A, ORIENTE 155 Y NORTE 66",SALVADOR DÍAZ MIRÓN,TRADICIONAL,2257,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.099303,19.4878659146
132,GUSTAVO A. MADERO,GABRIEL HERNANDEZ,69,214,2156273.45177,490026.10891,AV. CENTENARIO Y CERRITO,GABRIEL HERNANDEZ,TRADICIONAL,3925,1964,56,N/D,N/D,RECTANGULO,1,MEDIANO,NO,-99.0950519999,19.5010649146
163,GUSTAVO A. MADERO,VASCO DE QUIROGA,70,212,2155554.08375,490038.09293,BARTOLOME DE OLMEDO Y FRAY JUAN DE PADILLA,VASCO DE QUIROGA,TRADICIONAL,3300,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.094934,19.4945639147
162,GUSTAVO A. MADERO,TRES ESTRELLAS,171,122,2152960.26882,488342.34162,"MARTIRES IRLANDESES, ENTRE JUAN AGUILAR Y LOPEZ  Y PAZ MONTES DE OCA",HEROES DEL 47,TRADICIONAL,3218,1962,58,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1470619999,19.3497769151
143,GUSTAVO A. MADERO,PROGRESO NACIONAL,73,274,2158580.78497,483336.57701,CALLE 28 ENTRE CALLE 11 Y CALLE 12,PROGRESO NACIONAL,TRADICIONAL,5238,1964,56,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.158824,19.5218719146
167,GUSTAVO A. MADERO,VILLA COMIDAS (VIEJO),81,209,2154469.84092,488121.78582,5 DE FEBRERO ENTRE ECHEVERRIA Y PEDRO MARIA ANAYA,GUSTAVO A. MADERO,ESPECIALIZADO,2967,1958,62,COMIDA PREPARADA Y OTROS,COMIDA Y ABARROTES,RECTANGULO,1,MEDIANO,NO,-99.113189,19.4847549147
119,GUSTAVO A. MADERO,AMPLIACION CASAS ALEMAN,116,192,2153533.49307,491202.09704,"PUERTO TAMPICO Y PUERTO ACAPULCO, PUERTO MANZANILLO Y CDA . PUERTO ACAPULCO",AMPLIACIÓN CASAS ALEMÁN,TRADICIONAL,3345,1963,57,N/D,N/D,CUADRO,1,CHICO,NO,-99.0838319999,19.4763089147
138,GUSTAVO A. MADERO,MARTIN CARRERA,117,241,2154724.70149,488773.84151,V. GUERRERO Y JOSE J. HERRERA,MARTIN CARRERA,TRADICIONAL,3713,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.106977,19.4870619147
151,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD I,121,193,2151696.73663,490370.14698,AV. 517 Y 521,SAN JUAN DE ARAGÓN UNIDAD 1,TRADICIONAL,3777,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.09175,19.4597059148
166,GUSTAVO A. MADERO,VICENTE GUERRERO (NUEVA ATZACOALCO),123,386,2156325.81398,491034.83651,CALLE 314 ENTRE CALLE 311 Y 313,NUEVA ATZACOALCO,TRADICIONAL,4958,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.085439,19.5015429146
139,GUSTAVO A. MADERO,MAXIMINO AVILA CAMACHO,127,130,2153496.43123,485530.31079,"PPONIENTE 112, NORTE 1B Y NORTE 1C",M. AVILA CAMACHO,TRADICIONAL,2586,1964,56,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.137876,19.4759409147
140,GUSTAVO A. MADERO,PANAMERICANA,145,430,2153682.09516,484740.94886,PONIENTE 122 Y NORTE 9,PANAMERICANA,TRADICIONAL,7721,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.1453989999,19.4776129147
130,GUSTAVO A. MADERO,FERNANDO CASAS ALEMAN,156,222,2150920.15779,489789.502,"RUBLOS, CAIRO Y PESETAS",CERRO PRIETO,TRADICIONAL,3044,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.0972779999,19.4526849148
134,GUSTAVO A. MADERO,JUAN GONZALEZ ROMERO,160,201,2156867.6019,490551.39042,"AV. DE LAS FLORES Y CALLE GLORIA, ENTRE MADRE SELVA Y ALCATRAZ",GONZALEZ ROMERO,TRADICIONAL,3102,0,2020,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.0900489999,19.5064369146
121,GUSTAVO A. MADERO,BONDOJITO,161,181,2152362.71906,488900.51971,HENRY FORD Y NORTE 72A,BONDOJITO,TRADICIONAL,3563,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.105756,19.4657169147
161,GUSTAVO A. MADERO,SANTA ROSA,164,167,2158882.97585,482301.02026,"CALLE 26 , ENTRE CALLE 28A Y CALZ. VALLEJO",SANTA ROSA,TRADICIONAL,2077,1984,36,N/D,N/D,CUADRO,1,CHICO,NO,-99.1686969999,19.5245939146
160,GUSTAVO A. MADERO,SANTA MARIA TICOMAN,176,119,2157963.93012,486013.49404,AV. 21 DE MARZO Y CALLE 1810,BARRIO LA LAGUNILLA,TRADICIONAL,2848,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.133305,19.5163179145
145,GUSTAVO A. MADERO,PUEBLO DE SAN JUAN DE ARAGON,185,64,2152692.21326,491161.90997,"RIO GUADALUPE, JARDIN REVOLUCION Y J. M. MORELOS",PUEBLO SAN JUAN DE ARAGÓN,TRADICIONAL,1131,1960,60,N/D,N/D,IRREGULAR,1,CHICO,NO,-99.0842109999,19.4687059147
149,GUSTAVO A. MADERO,SAN BARTOLO ATEPEHUACAN,188,159,2155249.97507,485244.40034,AV. MONTEVIDEO No 500 ENTRE CALLE LOMA Y MANDUJANO,SAN BARTOLO ATEPEHUACAN,TRADICIONAL,3140,1963,57,N/D,N/D,CUADRO,1,CHICO,NO,-99.1406139999,19.4917859146
158,GUSTAVO A. MADERO,SAN PEDRO ZACATENCO,189,111,2156780.38479,486878.54664,"LA RIOJA Y MANIZALES, ENTRE MANIZALES Y RAMIRIQUI",SAN PEDRO ZACATENCO,TRADICIONAL,3117,1963,57,N/D,N/D,CUADRO,1,CHICO,NO,-99.1250519999,19.5056279146
137,GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS (NUEVA VALLEJO),193,86,2154513.40394,484393.4566,"PONIENTE 122, ENTRE NORTE 19A NORTE 21 Y PTE 126",NUEVA VALLEJO,TRADICIONAL,984,1975,45,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1487169999,19.4851229146
156,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 7,204,190,2152853.8937,492081.46366,"AV. 414, ENTRE 481 Y 483",SAN JUAN DE ARAGÓN UNIDAD 7,TRADICIONAL,4101,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.0754499999,19.4701709147
150,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,205,269,2155443.46285,491966.12224,HIDALGO ENTRE TAMAZULA Y APATZINGAN,SAN FELIPE DE JESÚS,TRADICIONAL,4275,1968,52,"ROPA, CALZADO Y TELAS",ROPA,RECTANGULO,1,MEDIANO,NO,-99.0765599999,19.4935729146
